"TIME","PARTNER","UNIT","NACE_R2","GEO","Value","Flag and Footnotes"
"2010","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","132,426",""
"2010","America","Number","Hotels and similar accommodation","Croatia","359,440",""
"2010","America","Number","Hotels and similar accommodation","Slovenia","119,261",""
"2010","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Asia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","395,168",""
"2010","Asia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","185,831",""
"2010","Asia","Number","Hotels and similar accommodation","Croatia","361,784",""
"2010","Asia","Number","Hotels and similar accommodation","Slovenia","171,892",""
"2010","Asia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Asia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","All countries of the world","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","37,009,182",""
"2010","All countries of the world","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","8,424,741",""
"2010","All countries of the world","Number","Hotels and similar accommodation","Croatia","19,344,700",""
"2010","All countries of the world","Number","Hotels and similar accommodation","Slovenia","5,853,329",""
"2010","All countries of the world","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","All countries of the world","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","38,109,198",""
"2011","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","8,446,037",""
"2011","Europe","Number","Hotels and similar accommodation","Croatia","19,476,034",""
"2011","Europe","Number","Hotels and similar accommodation","Slovenia","5,812,164",""
"2011","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","8,477,553",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","585,779",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Croatia","3,313,031",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Slovenia","392,345",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","370,703",""
"2011","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","66,172",""
"2011","Spain","Number","Hotels and similar accommodation","Croatia","317,822",""
"2011","Spain","Number","Hotels and similar accommodation","Slovenia","49,827",""
"2011","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","1,170,911",""
"2011","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","127,171",""
"2011","France","Number","Hotels and similar accommodation","Croatia","887,044",""
"2011","France","Number","Hotels and similar accommodation","Slovenia","81,216",""
"2011","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","3,861,788",""
"2011","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Croatia","Number","Hotels and similar accommodation","Croatia","2,412,495",""
"2011","Croatia","Number","Hotels and similar accommodation","Slovenia",":",""
"2011","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","402,253",""
"2011","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","3,171,932",""
"2011","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","967,317",""
"2011","Italy","Number","Hotels and similar accommodation","Croatia","1,472,506",""
"2011","Italy","Number","Hotels and similar accommodation","Slovenia","825,344",""
"2011","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","3,617,719",""
"2011","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","652,370",""
"2011","Austria","Number","Hotels and similar accommodation","Croatia","2,148,567",""
"2011","Austria","Number","Hotels and similar accommodation","Slovenia","545,235",""
"2011","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","4,531,629",""
"2011","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,753,876",""
"2011","Slovenia","Number","Hotels and similar accommodation","Croatia","1,324,916",""
"2011","Slovenia","Number","Hotels and similar accommodation","Slovenia","2,178,671",""
"2011","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","576,080",""
"2011","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","969,504",""
"2011","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","214,016",""
"2011","United Kingdom","Number","Hotels and similar accommodation","Croatia","804,884",""
"2011","United Kingdom","Number","Hotels and similar accommodation","Slovenia","177,032",""
"2011","United Kingdom","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","United Kingdom","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","498,551",""
"2011","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","141,567",""
"2011","America","Number","Hotels and similar accommodation","Croatia","424,247",""
"2011","America","Number","Hotels and similar accommodation","Slovenia","126,276",""
"2011","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","Asia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","448,508",""
