"TIME","PARTNER","UNIT","PURPOSE","DURATION","GEO","Value","Flag and Footnotes"
"2010","Italy","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Slovenia","Number","Total","1 night or over","Croatia","148,668",""
"2010","Slovenia","Number","Total","1 night or over","Slovenia",":",""
"2010","Slovenia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Slovenia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Slovenia","Number","Total","4 nights or over","Croatia",":",""
"2010","Slovenia","Number","Total","4 nights or over","Slovenia",":",""
"2010","Slovenia","Number","Personal reasons","1 night or over","Croatia","139,810",""
"2010","Slovenia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","Slovenia","Number","Personal reasons","From 1 to 3 nights","Croatia","88,527",""
"2010","Slovenia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","Slovenia","Number","Personal reasons","4 nights or over","Croatia","51,283",""
"2010","Slovenia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2010","Slovenia","Number","Professional, business","1 night or over","Croatia","8,858",""
"2010","Slovenia","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","Slovenia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Slovenia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Slovenia","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Slovenia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","All countries of the world","Number","Total","1 night or over","Croatia",":",""
"2010","All countries of the world","Number","Total","1 night or over","Slovenia",":",""
"2010","All countries of the world","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","All countries of the world","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","All countries of the world","Number","Total","4 nights or over","Croatia",":",""
"2010","All countries of the world","Number","Total","4 nights or over","Slovenia",":",""
"2010","All countries of the world","Number","Personal reasons","1 night or over","Croatia",":",""
"2010","All countries of the world","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2010","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","All countries of the world","Number","Personal reasons","4 nights or over","Croatia","3,509,254",""
"2010","All countries of the world","Number","Personal reasons","4 nights or over","Slovenia","1,677,000",""
"2010","All countries of the world","Number","Professional, business","1 night or over","Croatia",":",""
